Date,0
2024-01-04,[0.09607935]
2024-01-05,[0.09612458]
2024-01-08,[0.09609716]
2024-01-09,[0.0962088]
2024-01-10,[0.09621105]
2024-01-11,[0.09620363]
2024-01-12,[0.09617216]
2024-01-16,[0.09602071]
2024-01-17,[0.0958515]
2024-01-18,[0.09582961]
2024-01-19,[0.0960406]
2024-01-22,[0.09626598]
2024-01-23,[0.09620441]
2024-01-24,[0.09618374]
2024-01-25,[0.0962838]
2024-01-26,[0.09627566]
2024-01-29,[0.09635198]
2024-01-30,[0.09639438]
2024-01-31,[0.0965313]
2024-02-01,[0.09678283]
2024-02-02,[0.09683751]
2024-02-05,[0.09679276]
2024-02-06,[0.09690609]
2024-02-07,[0.09670338]
2024-02-08,[0.09667887]
2024-02-09,[0.09669734]
2024-02-12,[0.09674712]
2024-02-13,[0.09693083]
2024-02-14,[0.09731811]
2024-02-15,[0.09741719]
2024-02-16,[0.09722782]
2024-02-20,[0.09708841]
2024-02-21,[0.09704344]
2024-02-22,[0.09702784]
2024-02-23,[0.0971795]
2024-02-26,[0.09723552]
2024-02-27,[0.09727104]
2024-02-28,[0.09723077]
2024-02-29,[0.09717464]
2024-03-01,[0.0967171]
2024-03-04,[0.09643381]
2024-03-05,[0.096398]
2024-03-06,[0.09679987]
2024-03-07,[0.09690788]
2024-03-08,[0.09685988]
2024-03-11,[0.09702399]
2024-03-12,[0.09706364]
2024-03-13,[0.09712365]
2024-03-14,[0.09700883]
2024-03-15,[0.09699918]
2024-03-18,[0.09715521]
2024-03-19,[0.09715249]
2024-03-20,[0.09715996]
2024-03-21,[0.09722859]
2024-03-22,[0.09709303]
2024-03-25,[0.09706538]
2024-03-26,[0.09713092]
2024-03-27,[0.09717754]
2024-03-28,[0.09722231]
2024-04-01,[0.09726775]
2024-04-02,[0.09722709]
2024-04-03,[0.09722809]
2024-04-04,[0.09681036]
2024-04-05,[0.0968667]
2024-04-08,[0.09677559]
2024-04-09,[0.09667011]
2024-04-10,[0.0965784]
2024-04-11,[0.09647233]
2024-04-12,[0.09660628]
2024-04-15,[0.09674625]
2024-04-16,[0.09701499]
2024-04-17,[0.09714022]
2024-04-18,[0.0972214]
2024-04-19,[0.0972414]
2024-04-22,[0.0972033]
2024-04-23,[0.09721436]
2024-04-24,[0.09728668]
2024-04-25,[0.09733205]
2024-04-26,[0.09741157]
2024-04-29,[0.09753427]
2024-04-30,[0.09763858]
2024-05-01,[0.0980322]
2024-05-02,[0.09823008]
2024-05-03,[0.09828278]
2024-05-06,[0.09848432]
2024-05-07,[0.09856407]
2024-05-08,[0.09861974]
2024-05-09,[0.09859107]
2024-05-10,[0.09835371]
2024-05-13,[0.09817103]
2024-05-14,[0.09788235]
2024-05-15,[0.09769885]
2024-05-16,[0.09762248]
2024-05-17,[0.09754291]
2024-05-20,[0.0973094]
2024-05-21,[0.09721547]
2024-05-22,[0.09711254]
2024-05-23,[0.09711667]
2024-05-24,[0.09716223]
2024-05-28,[0.09704679]
2024-05-29,[0.09694892]
2024-05-30,[0.0964582]
2024-05-31,[0.09664487]
2024-06-03,[0.09662142]
2024-06-04,[0.09592932]
2024-06-05,[0.0955348]
2024-06-06,[0.09548619]
2024-06-07,[0.09548903]
2024-06-10,[0.09548848]
2024-06-11,[0.09557298]
2024-06-12,[0.09615359]
2024-06-13,[0.09645766]
2024-06-14,[0.09645924]
2024-06-17,[0.09647582]
2024-06-18,[0.09655873]
2024-06-20,[0.09661116]
2024-06-21,[0.096765]
2024-06-24,[0.09683983]
2024-06-25,[0.09685018]
2024-06-26,[0.09680323]
2024-06-27,[0.09678017]
2024-06-28,[0.09670679]
2024-07-01,[0.09649741]
2024-07-02,[0.09645155]
2024-07-03,[0.09645059]
2024-07-05,[0.09645866]
2024-07-08,[0.09634833]
2024-07-09,[0.09630373]
2024-07-10,[0.09638464]
2024-07-11,[0.09638333]
2024-07-12,[0.09651993]
2024-07-15,[0.09639955]
2024-07-16,[0.09635954]
2024-07-17,[0.09636739]
2024-07-18,[0.09681527]
2024-07-19,[0.09711874]
2024-07-22,[0.09723462]
2024-07-23,[0.09726841]
2024-07-24,[0.09727975]
2024-07-25,[0.09805938]
2024-07-26,[0.0984884]
2024-07-29,[0.09873337]
2024-07-30,[0.09880413]
2024-07-31,[0.09873278]
2024-08-01,[0.0988018]
2024-08-02,[0.09900185]
2024-08-05,[0.09911366]
2024-08-06,[0.0997497]
2024-08-07,[0.10005572]
2024-08-08,[0.10008188]
2024-08-09,[0.10011934]
2024-08-12,[0.10010283]
2024-08-13,[0.10006973]
2024-08-14,[0.10010519]
2024-08-15,[0.09997073]
2024-08-16,[0.09986842]
2024-08-19,[0.09981621]
2024-08-20,[0.09970089]
2024-08-21,[0.09966858]
2024-08-22,[0.09917516]
2024-08-23,[0.09906492]
2024-08-26,[0.09891921]
2024-08-27,[0.09895084]
2024-08-28,[0.09890068]
2024-08-29,[0.09881549]
2024-08-30,[0.09863061]
2024-09-03,[0.09832784]
2024-09-04,[0.0978962]
2024-09-05,[0.09772364]
2024-09-06,[0.09761047]
2024-09-09,[0.09770491]
2024-09-10,[0.09772888]
2024-09-11,[0.09776342]
2024-09-12,[0.09760954]
2024-09-13,[0.0975432]
2024-09-16,[0.09732746]
2024-09-17,[0.09738886]
2024-09-18,[0.09735794]
2024-09-19,[0.09743592]
2024-09-20,[0.097618]
2024-09-23,[0.09757949]
2024-09-24,[0.09753255]
2024-09-25,[0.09751023]
2024-09-26,[0.09752148]
2024-09-27,[0.09746956]
2024-09-30,[0.09746537]
2024-10-01,[0.09743618]
2024-10-02,[0.09735281]
2024-10-03,[0.09732654]
2024-10-04,[0.09733371]
2024-10-07,[0.09701984]
2024-10-08,[0.09712815]
2024-10-09,[0.09708185]
2024-10-10,[0.09688647]
2024-10-11,[0.09681682]
2024-10-14,[0.09677862]
2024-10-15,[0.09665541]
2024-10-16,[0.09670696]
2024-10-17,[0.0967014]
2024-10-18,[0.09626836]
2024-10-21,[0.09609649]
2024-10-22,[0.0960336]
2024-10-23,[0.09603834]
2024-10-24,[0.09625737]
2024-10-25,[0.09633868]
2024-10-28,[0.09636318]
2024-10-29,[0.09632]
2024-10-30,[0.09595415]
2024-10-31,[0.0958454]
2024-11-01,[0.09689966]
2024-11-04,[0.09735699]
2024-11-05,[0.0974507]
2024-11-06,[0.09738348]
2024-11-07,[0.0974531]
2024-11-08,[0.09751291]
2024-11-11,[0.09755987]
2024-11-12,[0.09756342]
2024-11-13,[0.09748179]
2024-11-14,[0.0974371]
2024-11-15,[0.09749]
2024-11-18,[0.09783922]
2024-11-19,[0.09796493]
2024-11-20,[0.09796712]
2024-11-21,[0.09784164]
2024-11-22,[0.09780179]
2024-11-25,[0.09777133]
2024-11-26,[0.0977633]
2024-11-27,[0.09783116]
2024-11-29,[0.09783971]
2024-12-02,[0.09692071]
2024-12-03,[0.0966308]
2024-12-04,[0.09649636]
2024-12-05,[0.09642334]
2024-12-06,[0.09604432]
2024-12-09,[0.09576818]
2024-12-10,[0.09570378]
2024-12-11,[0.09560437]
2024-12-12,[0.09562399]
2024-12-13,[0.09566826]
2024-12-16,[0.09569404]
2024-12-17,[0.09516668]
2024-12-18,[0.09501752]
2024-12-19,[0.09637939]
2024-12-20,[0.09691315]
2024-12-23,[0.09713835]
2024-12-24,[0.09724929]
2024-12-26,[0.09729738]
2024-12-27,[0.09731433]
2024-12-30,[0.09753727]
